pair_id,audio_file,feature_file,feature_type,feature_shape,feature_dim,feature_length,label_text,label_length,label_type,duration,sample_rate,dataset_split,dataset_object_status,data_loader_valid,data_loader_validation_status,data_loader_validation_message
PAIR_000039,IQ_000039.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000039.npy,mfcc,"(39, 98)",39,98,هواي من اصدقايي مثلا نهاييا ما رشاي في الاهوار,46,character,3.12,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000043,IQ_000043.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000043.npy,mfcc,"(39, 138)",39,138,والله مشاريع سياحية اذكرت بضيافة,32,character,4.412,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000063,IQ_000063.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000063.npy,mfcc,"(39, 125)",39,125,كان فيها فترة فترة هم حقيقة ودون للاهوار,40,character,3.991,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000026,IQ_000026.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000026.npy,mfcc,"(39, 162)",39,162,طبعا اليوم مهم من المساعد المحاور جميل كان مفروض يكون يعني,58,character,5.165,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000057,IQ_000057.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000057.npy,mfcc,"(39, 71)",39,71,فرص وموارد وطراث,16,character,2.257,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000077,IQ_000077.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000077.npy,mfcc,"(39, 57)",39,57,بس انت موجود هنا بالعراق,24,character,1.815,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000002,IQ_000002.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000002.npy,mfcc,"(39, 61)",39,61,90% مننا حركات كال,18,character,1.947,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000071,IQ_000071.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000071.npy,mfcc,"(39, 61)",39,61,وبالنظر 어,9,character,1.929,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000054,IQ_000054.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000054.npy,mfcc,"(39, 132)",39,132,انا اخذ فلوس من الخطار ماتي.. نسي الموضوع قلت له العالم,55,character,4.194,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000019,IQ_000019.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000019.npy,mfcc,"(39, 205)",39,205,ستتوفر روابط لبرنامج بوصف هذا الفيديو ونشجعكم ان تطلعون عليه وتستمعون لهوقاته,77,character,6.542,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000068,IQ_000068.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000068.npy,mfcc,"(39, 76)",39,76,و خيام في الشمال لتقوم بعمل جولات,33,character,2.422,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000020,IQ_000020.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000020.npy,mfcc,"(39, 96)",39,96,قبل ما نبدين حب نشكر شركاتنا بشركة كيت,38,character,3.058,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000021,IQ_000021.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000021.npy,mfcc,"(39, 69)",39,69,ورعااتنا بشركة شمس تلكرام,25,character,2.179,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000044,IQ_000044.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000044.npy,mfcc,"(39, 166)",39,166,فهذا هو تجربة اشاهدها في غابات الامازون قلت لها السياح الذي ياتي من الخارج,74,character,5.302,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000048,IQ_000048.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000048.npy,mfcc,"(39, 159)",39,159,لا بالعكس هم يردون يعيشون ببيت القصب هذا اللي عالمي طايف,56,character,5.059,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000034,IQ_000034.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000034.npy,mfcc,"(39, 57)",39,57,عند شوفهم يانسي سليم,20,character,1.792,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000062,IQ_000062.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000062.npy,mfcc,"(39, 79)",39,79,تجارب يودون مناطق سياحية,24,character,2.518,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000033,IQ_000033.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000033.npy,mfcc,"(39, 95)",39,95,لو عدد متعددة ممكن يدخل الطبيعي,31,character,3.015,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000008,IQ_000008.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000008.npy,mfcc,"(39, 90)",39,90,واحدة من اهم واكبر شركات تكنولوجيا المالية,42,character,2.861,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000066,IQ_000066.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000066.npy,mfcc,"(39, 159)",39,159,يريدون ان يكون هناك مال و يبدا البنوك بموال,43,character,5.08,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000003,IQ_000003.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000003.npy,mfcc,"(39, 74)",39,74,لدينا القدرة علي التنافس حتي في المنطقة,39,character,2.337,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000017,IQ_000017.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000017.npy,mfcc,"(39, 206)",39,206,كلها اشياء هي يجوز من المسه اليوم لكن ممكن ان بالسنين الجاية رح تاثر بحياتنا,76,character,6.574,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000037,IQ_000037.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000037.npy,mfcc,"(39, 58)",39,58,صعبة الفيزا علي العراقين,24,character,1.828,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000023,IQ_000023.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000023.npy,mfcc,"(39, 114)",39,114,الحمد لله,9,character,3.635,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000041,IQ_000041.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000041.npy,mfcc,"(39, 54)",39,54,لديك معلومات,12,character,1.705,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000025,IQ_000025.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000025.npy,mfcc,"(39, 227)",39,227,علمية و AI و scientific و كل هاي الاشياء بس تعبنا من السوالف تعبنا من السوالف نتعب الناس و يعني,95,character,7.242,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000006,IQ_000006.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000006.npy,mfcc,"(39, 80)",39,80,اهلا بكم في البودكاست تجاو,26,character,2.536,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000007,IQ_000007.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000007.npy,mfcc,"(39, 181)",39,181,اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,68,character,5.774,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000061,IQ_000061.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000061.npy,mfcc,"(39, 60)",39,60,واجبوعة شباب عندهم,18,character,1.912,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000074,IQ_000074.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000074.npy,mfcc,"(39, 117)",39,117,الباقراماتي مجتمع مختلف دولة مختلفة,35,character,3.72,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000010,IQ_000010.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000010.npy,mfcc,"(39, 254)",39,254,سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,95,character,8.111,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000053,IQ_000053.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000053.npy,mfcc,"(39, 132)",39,132,احسن من خمس نجوم وهذه اجل قال لي انت تتحدث صدق,46,character,4.203,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000022,IQ_000022.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000022.npy,mfcc,"(39, 77)",39,77,ساترككم مع حلقة و ان شاء الله تتونسون,37,character,2.454,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000067,IQ_000067.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000067.npy,mfcc,"(39, 88)",39,88,لكن هناك محاولات يمكنكم فعلها,29,character,2.81,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000059,IQ_000059.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000059.npy,mfcc,"(39, 95)",39,95,بها اثار و بها يعني تراث و حضارة و كذا,38,character,3.01,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000011,IQ_000011.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000011.npy,mfcc,"(39, 285)",39,285,ما هي الفرص المتاحة للمشاريع والشركات الناشية لتنمو وما هي التحديات التي يمكن ان يواجهها او تقف بطريقهم وتمنعهم من هذا الشيء,124,character,9.118,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000049,IQ_000049.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000049.npy,mfcc,"(39, 94)",39,94,ويتفاعلون ويتجا موسي ويصعدون علي ال..,37,character,2.991,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000001,IQ_000001.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000001.npy,mfcc,"(39, 117)",39,117,الحلم من نوع العراق يتحول الي بلد خالي من النقل,47,character,3.719,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000052,IQ_000052.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000052.npy,mfcc,"(39, 64)",39,64,ويمكن دفعهم اكثر.,17,character,2.017,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000075,IQ_000075.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000075.npy,mfcc,"(39, 63)",39,63,وطريقة,6,character,2.004,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000038,IQ_000038.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000038.npy,mfcc,"(39, 179)",39,179,افضل ان يكونوا يهتمون بالسياحة الداخلية نعم هناك مناطق بلاعلاق رايعة جدا,72,character,5.703,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000076,IQ_000076.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000076.npy,mfcc,"(39, 89)",39,89,كيف يمكننا ان نحصل علي مال مختلف عن العراق,42,character,2.826,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000080,IQ_000080.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000080.npy,mfcc,"(39, 70)",39,70,لكي تكون عمرك 16 سنة,20,character,2.209,16000,train,Built,True,Passed,Dataset object validation passed
PAIR_000027,IQ_000027.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000027.npy,mfcc,"(39, 182)",39,182,بس خطي بالطيارة يعني صبح علي اساس ينزل من مفضل دبي من عمان,58,character,5.801,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000035,IQ_000035.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000035.npy,mfcc,"(39, 133)",39,133,يقولون انه بده يسي الضغاط علي مدي الشركات,41,character,4.254,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000045,IQ_000045.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000045.npy,mfcc,"(39, 115)",39,115,يريدون ان يعيشوا نفس استجربة الناس الموجودين في المنطقة,55,character,3.652,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000042,IQ_000042.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000042.npy,mfcc,"(39, 70)",39,70,مشاريع شركات سياحية,19,character,2.229,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000046,IQ_000046.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000046.npy,mfcc,"(39, 67)",39,67,قلت لهمو تبني لهم,17,character,2.126,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000013,IQ_000013.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000013.npy,mfcc,"(39, 152)",39,152,التحول الرقمي يريد تسعي الحكومة لتحقيقه واراء الضيف حوله,56,character,4.851,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000078,IQ_000078.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000078.npy,mfcc,"(39, 69)",39,69,ورجل اعمال ناجح بالعراق,23,character,2.189,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000069,IQ_000069.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000069.npy,mfcc,"(39, 80)",39,80,بالجبال والصحراء,16,character,2.544,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000065,IQ_000065.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000065.npy,mfcc,"(39, 61)",39,61,نعم، نحن كنا في 100 واحد,24,character,1.94,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000030,IQ_000030.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000030.npy,mfcc,"(39, 104)",39,104,لا اعرف بالضبط ما الذي تغير,27,character,3.312,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000028,IQ_000028.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000028.npy,mfcc,"(39, 83)",39,83,شكرا لكم علي اشارة الفيزا,25,character,2.631,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000072,IQ_000072.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000072.npy,mfcc,"(39, 70)",39,70,بحكم تجربتي السابقة,19,character,2.219,16000,val,Built,True,Passed,Dataset object validation passed
PAIR_000079,IQ_000079.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000079.npy,mfcc,"(39, 85)",39,85,وتملك اكبر شركة فينتك بالعراق,29,character,2.69,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000005,IQ_000005.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000005.npy,mfcc,"(39, 59)",39,59,حسب علمه يدعوه يدرس,19,character,1.874,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000055,IQ_000055.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000055.npy,mfcc,"(39, 119)",39,119,لا اخويا خليك هاي شي نوباي راح يصير السياحة مالتنا خسارة,56,character,3.782,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000012,IQ_000012.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000012.npy,mfcc,"(39, 237)",39,237,بعدها ننتقل لمشهد التكنولوجي بالعراق اليوم من الدفع الالكتروني الي التكنولوجيا المالية وبشكل عام,96,character,7.555,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000070,IQ_000070.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000070.npy,mfcc,"(39, 123)",39,123,هذا يجب ان يجيبنا علي موضوع كل شيء مهم الذي هو الاستثمار بالعراق,64,character,3.923,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000014,IQ_000014.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000014.npy,mfcc,"(39, 130)",39,130,اخيرا ناقشنا المستقبل والتكنولوجيا التي يمكن ان نشهدها في المستقبل,66,character,4.14,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000018,IQ_000018.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000018.npy,mfcc,"(39, 320)",39,320,استاذ محمد هو بنفسه يقدم برنامج purecast واللي يناقش التكنولوجيا والاقتصاد وكل المواضيع اللي تحيط بيها واللي احنا شركاء بانتاجه وتقديمه,135,character,10.213,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000029,IQ_000029.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000029.npy,mfcc,"(39, 92)",39,92,الهعلاقة تصور بالاموال وما مع موال وهالاشياء,44,character,2.94,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000032,IQ_000032.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000032.npy,mfcc,"(39, 130)",39,130,دخول واحد بس. اعتماد ما تشيك ان هو مو متعدد عدد.,48,character,4.132,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000036,IQ_000036.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000036.npy,mfcc,"(39, 107)",39,107,بعض العراق يفتحون جز شركة وكذا هنا ويقولون لازم,47,character,3.42,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000004,IQ_000004.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000004.npy,mfcc,"(39, 183)",39,183,دفع الالكتروني في دول الجوار البنك المركزي العراقي موضوع العملات الرقمية,72,character,5.835,16000,test,Built,True,Passed,Dataset object validation passed
PAIR_000015,IQ_000015.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000015.npy,mfcc,"(39, 62)",39,62,العملات الرخمية المشفرة,23,character,1.974,16000,test,Built,True,Passed,Dataset object validation passed
