pair_id,audio_file,feature_file,feature_type,feature_shape,transcript,normalized_text,training_text,text_length,word_count,duration,sample_rate,record_ready,record_status,record_message,dataset_split,included_in_training,split_status
PAIR_000021,IQ_000021.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000021.npy,mfcc,"(39, 69)",ورعااتنا بشركة شمس تلكرام,ورعااتنا بشركة شمس تلكرام,ورعااتنا بشركة شمس تلكرام,25,4,2.179,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000044,IQ_000044.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000044.npy,mfcc,"(39, 166)",فهذا هو تجربة اشاهدها في غابات الامازون قلت لها السياح الذي ياتي من الخارج,فهذا هو تجربة اشاهدها في غابات الامازون قلت لها السياح الذي ياتي من الخارج,فهذا هو تجربة اشاهدها في غابات الامازون قلت لها السياح الذي ياتي من الخارج,74,14,5.302,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000048,IQ_000048.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000048.npy,mfcc,"(39, 159)",لا بالعكس هم يردون يعيشون ببيت القصب هذا اللي عالمي طايف,لا بالعكس هم يردون يعيشون ببيت القصب هذا اللي عالمي طايف,لا بالعكس هم يردون يعيشون ببيت القصب هذا اللي عالمي طايف,56,11,5.059,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000034,IQ_000034.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000034.npy,mfcc,"(39, 57)",عند شوفهم يانسي سليم,عند شوفهم يانسي سليم,عند شوفهم يانسي سليم,20,4,1.792,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000062,IQ_000062.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000062.npy,mfcc,"(39, 79)",تجارب يودون مناطق سياحية,تجارب يودون مناطق سياحية,تجارب يودون مناطق سياحية,24,4,2.518,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000033,IQ_000033.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000033.npy,mfcc,"(39, 95)",لو عدد متعددة ممكن يدخل الطبيعي,لو عدد متعددة ممكن يدخل الطبيعي,لو عدد متعددة ممكن يدخل الطبيعي,31,6,3.015,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000008,IQ_000008.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000008.npy,mfcc,"(39, 90)",واحدة من اهم واكبر شركات تكنولوجيا المالية,واحدة من اهم واكبر شركات تكنولوجيا المالية,واحدة من اهم واكبر شركات تكنولوجيا المالية,42,7,2.861,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000066,IQ_000066.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000066.npy,mfcc,"(39, 159)",يريدون ان يكون هناك مال و يبدا البنوك بموال,يريدون ان يكون هناك مال و يبدا البنوك بموال,يريدون ان يكون هناك مال و يبدا البنوك بموال,43,9,5.08,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000003,IQ_000003.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000003.npy,mfcc,"(39, 74)",لدينا القدرة علي التنافس حتي في المنطقة,لدينا القدرة علي التنافس حتي في المنطقة,لدينا القدرة علي التنافس حتي في المنطقة,39,7,2.337,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000017,IQ_000017.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000017.npy,mfcc,"(39, 206)",كلها اشياء هي يجوز من المسه اليوم لكن ممكن ان بالسنين الجاية رح تاثر بحياتنا,كلها اشياء هي يجوز من المسه اليوم لكن ممكن ان بالسنين الجاية رح تاثر بحياتنا,كلها اشياء هي يجوز من المسه اليوم لكن ممكن ان بالسنين الجاية رح تاثر بحياتنا,76,15,6.574,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000037,IQ_000037.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000037.npy,mfcc,"(39, 58)",صعبة الفيزا علي العراقين,صعبة الفيزا علي العراقين,صعبة الفيزا علي العراقين,24,4,1.828,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000023,IQ_000023.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000023.npy,mfcc,"(39, 114)",الحمد لله,الحمد لله,الحمد لله,9,2,3.635,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000041,IQ_000041.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000041.npy,mfcc,"(39, 54)",لديك معلومات,لديك معلومات,لديك معلومات,12,2,1.705,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000025,IQ_000025.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000025.npy,mfcc,"(39, 227)",علمية و AI و scientific و كل هاي الاشياء بس تعبنا من السوالف تعبنا من السوالف نتعب الناس و يعني,علمية و AI و scientific و كل هاي الاشياء بس تعبنا من السوالف تعبنا من السوالف نتعب الناس و يعني,علمية و AI و scientific و كل هاي الاشياء بس تعبنا من السوالف تعبنا من السوالف نتعب الناس و يعني,95,20,7.242,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000006,IQ_000006.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000006.npy,mfcc,"(39, 80)",اهلا بكم في البودكاست تجاو,اهلا بكم في البودكاست تجاو,اهلا بكم في البودكاست تجاو,26,5,2.536,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000007,IQ_000007.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000007.npy,mfcc,"(39, 181)",اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,اولا لاننا نستضيف بها الاستاذ بهاة المعموري موسس شركة key or keycard,68,12,5.774,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000061,IQ_000061.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000061.npy,mfcc,"(39, 60)",واجبوعة شباب عندهم,واجبوعة شباب عندهم,واجبوعة شباب عندهم,18,3,1.912,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000074,IQ_000074.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000074.npy,mfcc,"(39, 117)",الباقراماتي مجتمع مختلف دولة مختلفة,الباقراماتي مجتمع مختلف دولة مختلفة,الباقراماتي مجتمع مختلف دولة مختلفة,35,5,3.72,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000010,IQ_000010.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000010.npy,mfcc,"(39, 254)",سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,سيتطرق هذا الحوار لمختلف المواضيع بدءا من راي الضيف في البيية الاقتصادية والاستثمارية في العراق,95,15,8.111,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000053,IQ_000053.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000053.npy,mfcc,"(39, 132)",احسن من خمس نجوم وهذه اجل قال لي انت تتحدث صدق,احسن من خمس نجوم وهذه اجل قال لي انت تتحدث صدق,احسن من خمس نجوم وهذه اجل قال لي انت تتحدث صدق,46,11,4.203,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000022,IQ_000022.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000022.npy,mfcc,"(39, 77)",ساترككم مع حلقة و ان شاء الله تتونسون,ساترككم مع حلقة و ان شاء الله تتونسون,ساترككم مع حلقة و ان شاء الله تتونسون,37,8,2.454,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000067,IQ_000067.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000067.npy,mfcc,"(39, 88)",لكن هناك محاولات يمكنكم فعلها,لكن هناك محاولات يمكنكم فعلها,لكن هناك محاولات يمكنكم فعلها,29,5,2.81,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000059,IQ_000059.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000059.npy,mfcc,"(39, 95)",بها اثار و بها يعني تراث و حضارة و كذا,بها اثار و بها يعني تراث و حضارة و كذا,بها اثار و بها يعني تراث و حضارة و كذا,38,10,3.01,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000011,IQ_000011.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000011.npy,mfcc,"(39, 285)",ما هي الفرص المتاحة للمشاريع والشركات الناشية لتنمو وما هي التحديات التي يمكن ان يواجهها او تقف بطريقهم وتمنعهم من هذا الشيء,ما هي الفرص المتاحة للمشاريع والشركات الناشية لتنمو وما هي التحديات التي يمكن ان يواجهها او تقف بطريقهم وتمنعهم من هذا الشيء,ما هي الفرص المتاحة للمشاريع والشركات الناشية لتنمو وما هي التحديات التي يمكن ان يواجهها او تقف بطريقهم وتمنعهم من هذا الشيء,124,22,9.118,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000049,IQ_000049.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000049.npy,mfcc,"(39, 94)",ويتفاعلون ويتجا موسي ويصعدون علي ال..,ويتفاعلون ويتجا موسي ويصعدون علي ال..,ويتفاعلون ويتجا موسي ويصعدون علي ال..,37,6,2.991,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000001,IQ_000001.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000001.npy,mfcc,"(39, 117)",الحلم من نوع العراق يتحول الي بلد خالي من النقل,الحلم من نوع العراق يتحول الي بلد خالي من النقل,الحلم من نوع العراق يتحول الي بلد خالي من النقل,47,10,3.719,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000052,IQ_000052.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000052.npy,mfcc,"(39, 64)",ويمكن دفعهم اكثر.,ويمكن دفعهم اكثر.,ويمكن دفعهم اكثر.,17,3,2.017,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000075,IQ_000075.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000075.npy,mfcc,"(39, 63)",وطريقة,وطريقة,وطريقة,6,1,2.004,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000038,IQ_000038.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000038.npy,mfcc,"(39, 179)",افضل ان يكونوا يهتمون بالسياحة الداخلية نعم هناك مناطق بلاعلاق رايعة جدا,افضل ان يكونوا يهتمون بالسياحة الداخلية نعم هناك مناطق بلاعلاق رايعة جدا,افضل ان يكونوا يهتمون بالسياحة الداخلية نعم هناك مناطق بلاعلاق رايعة جدا,72,12,5.703,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000076,IQ_000076.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000076.npy,mfcc,"(39, 89)",كيف يمكننا ان نحصل علي مال مختلف عن العراق,كيف يمكننا ان نحصل علي مال مختلف عن العراق,كيف يمكننا ان نحصل علي مال مختلف عن العراق,42,9,2.826,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
PAIR_000080,IQ_000080.wav,C:\Users\gold1\Desktop\Iraqi_Speech_Dataset\data\features\mfcc\IQ_000080.npy,mfcc,"(39, 70)",لكي تكون عمرك 16 سنة,لكي تكون عمرك 16 سنة,لكي تكون عمرك 16 سنة,20,5,2.209,16000,True,Prepared,Training record prepared successfully,train,True,Assigned
